anio,poblacion,pib,tecnologia,energia,comida,tension,infectados,socios
1,5002,1383.82,1.0251,24700,86870,2.44,0,america
2,5310,1283.76,1.0301,40025,121247,2.76,0,america
3,5579,1148.91,1.0352,54807,153725,3.12,0,europa
4,5819,1039.5,1.0403,69300,184830,3.42,0,america
5,6037,962.05,1.0454,83604,214988,3.67,0,america
6,6239,896.48,1.0454,97821,244553,3.88,0,america
7,6429,837.78,1.0454,111986,273756,4.07,4,europa
8,6610,787.91,1.0454,126203,302822,4.24,4,africa
9,6786,746.36,1.0454,140525,331940,4.39,4,europa
10,6958,714.82,1.0454,155003,361206,4.52,4,europa
11,7128,686.25,1.0454,169639,390777,4.64,4,europa
12,7297,664.65,1.0454,184535,420713,4.75,4,africa
13,7465,647.55,1.0454,199641,451077,4.85,4,america
14,7634,630.68,1.0454,215060,481929,4.95,4,america
15,7805,616.0,1.0454,230741,513358,5.04,4,america
16,7976,607.18,1.0454,246735,545362,5.13,5,america
17,8150,596.45,1.0454,263043,578001,5.21,5,america
18,8326,587.56,1.0454,279717,611301,5.29,5,europa
19,8503,580.44,1.0454,296705,645290,5.37,5,africa
20,8684,574.98,1.0454,314058,679966,5.44,5,africa
21,8866,567.73,1.0454,331777,715385,5.51,5,africa
22,9052,563.79,1.0454,349862,751546,5.58,5,africa
23,9240,558.13,1.0454,368365,788474,5.65,6,america
24,9431,555.62,1.0454,387235,826196,5.72,6,europa
25,9624,553.0,1.0454,406522,864708,5.78,6,africa
26,9821,550.3,1.0454,426175,904040,5.84,6,america
27,10020,549.04,1.0454,446246,944184,5.9,6,america
28,10222,547.71,1.0454,466736,985200,5.96,6,europa
29,10428,546.34,1.0454,487696,1027054,6.02,7,america
30,10636,547.73,1.0454,509074,1069770,6.07,7,africa
31,10847,547.67,1.0454,530870,1113407,6.13,7,europa
32,11062,547.61,1.0454,553136,1157931,6.18,7,africa
33,11279,548.86,1.0454,575873,1203366,6.23,7,africa
34,11500,552.68,1.0454,599029,1249742,6.28,8,america
35,11723,553.92,1.0454,622654,1297052,6.33,8,europa
36,11950,557.66,1.0454,646750,1345324,6.38,8,africa
37,12180,560.18,1.0454,671369,1394584,6.43,8,europa
38,12413,563.93,1.0454,696458,1444828,6.47,9,africa
39,12650,567.71,1.0454,722070,1496082,6.51,9,africa
40,12890,573.83,1.0454,748152,1548342,6.56,9,europa
41,13133,578.82,1.0454,774757,1601634,6.6,9,africa
42,13379,583.86,1.0454,801885,1655985,6.64,10,europa
43,13629,591.14,1.0454,829535,1711390,6.68,10,america
44,13882,598.45,1.0454,857708,1767875,6.72,10,america
45,14138,603.68,1.0454,886456,1825467,6.75,10,europa
46,14398,613.17,1.0454,915726,1884161,6.79,11,africa
47,14661,621.66,1.0454,945572,1943984,6.82,11,america
48,14928,629.18,1.0454,975993,2004960,6.86,11,africa
49,15198,639.78,1.0454,1006936,2067087,6.89,12,america
50,15471,648.44,1.0454,1038506,2130389,6.92,12,europa
51,15748,660.08,1.0454,1070652,2194864,6.95,12,africa
52,16029,671.75,1.0454,1103372,2260536,6.98,13,africa
53,16313,681.58,1.0454,1136720,2327432,7.01,13,america
54,16601,694.27,1.0454,1170642,2395576,7.04,13,america
55,16892,706.09,1.0454,1205192,2464965,7.07,14,america
56,17187,718.86,1.0454,1240369,2535624,7.1,14,america
57,17486,732.57,1.0454,1276173,2607580,7.12,14,america
58,17788,745.43,1.0454,1312657,2680827,7.15,15,europa
59,18094,760.09,1.0454,1349768,2755391,7.17,15,africa
60,18403,774.78,1.0454,1387559,2831298,7.2,16,america
61,18717,790.34,1.0454,1425976,2908545,7.22,16,africa
62,19034,805.09,1.0454,1465074,2987184,7.24,16,africa
63,19354,819.88,1.0454,1504903,3067214,7.27,17,africa
64,19679,837.15,1.0454,1545411,3148629,7.29,17,africa
65,20007,854.43,1.0454,1586599,3231454,7.31,18,america
66,20339,870.9,1.0454,1628519,3315716,7.33,18,america
67,20675,887.39,1.0454,1671170,3401469,7.35,19,africa
68,21015,907.02,1.0454,1714501,3488679,7.37,19,europa
69,21358,923.52,1.0454,1758616,3577401,7.39,20,africa
70,21705,943.09,1.0454,1803463,3667601,7.41,20,africa
71,22056,962.62,1.0454,1849042,3759335,7.43,21,europa
72,22411,981.37,1.0454,1895404,3852628,7.44,21,america
73,22770,1001.57,1.0454,1942499,3947475,7.46,22,america
74,23133,1020.99,1.0454,1990377,4043931,7.48,23,america
75,23500,1041.82,1.0454,2039039,4141961,7.5,23,europa
76,23870,1061.86,1.0454,2088538,4241621,7.51,24,america
77,24244,1083.27,1.0454,2138821,4342907,7.53,24,europa
78,24623,1103.89,1.0454,2189940,4445844,7.54,25,europa
79,25005,1124.43,1.0454,2241895,4550487,7.56,26,africa
80,25391,1147.67,1.0454,2294635,4656801,7.57,27,africa
81,25781,1168.73,1.0454,2348263,4764842,7.59,27,america
82,26175,1191.05,1.0454,2402727,4874604,7.6,28,africa
83,26573,1213.93,1.0454,2458028,4986114,7.62,29,europa
84,26975,1236.01,1.0454,2514217,5099397,7.63,29,america
85,27380,1259.3,1.0454,2571295,5214447,7.64,30,europa
86,27790,1282.44,1.0454,2629261,5331321,7.66,31,africa
87,28204,1306.08,1.0454,2688116,5450013,7.67,32,america
88,28621,1329.56,1.0454,2747859,5570548,7.68,33,america
89,29042,1352.87,1.0454,2808544,5692953,7.7,34,africa
90,29468,1376.64,1.0454,2870117,5817252,7.71,34,europa
91,29897,1400.87,1.0454,2932630,5943441,7.72,35,america
92,30330,1424.9,1.0454,2996085,6071544,7.73,36,africa
93,30767,1448.73,1.0454,3060533,6201588,7.75,37,europa
94,31208,1472.97,1.0454,3125921,6333598,7.76,38,america
95,31653,1498.22,1.0454,3192250,6467568,7.77,39,america
96,32101,1522.03,1.0454,3259573,6603555,7.78,39,europa
97,32553,1546.81,1.0454,3327888,6741554,7.79,39,america
98,33009,1571.35,1.0454,3397197,6881590,7.8,39,europa
99,33469,1596.84,1.0454,3467499,7023659,7.81,39,europa
